SYMBOL,SERIES,GAINS
VAISHALI,EQ,0.1842742427702873
QUADPRO,SM,0.15833330154418945
YESBANK,EQ,0.1129943454119862
OPTIEMUS,EQ,0.11080544299649321
SAGARDEEP,EQ,0.10563380423577812
CUBEXTUB,EQ,0.1025640455636673
AMJUMBO,ST,0.10114946036503233
ARENTERP,EQ,0.09864868988861909
LSIL,EQ,0.09433962264150944
EXCEL,EQ,0.09090911061310529
SONAMCLOCK,EQ,0.08626972309655884
JYOTISTRUC,BZ,0.08510636714891022
KAMATHOTEL,EQ,0.08154513253617618
AURDIS,SM,0.07928284420910109
KOTHARIPRO,EQ,0.07884308390532635
TRU,EQ,0.07032971504407051
RHFL,N6,0.06875
SREIBNPNCD,NV,0.06864824302013005
JAYNECOIND,EQ,0.06844111013785562
CROWN,EQ,0.06628574916294643
KOTAKLOVOL,EQ,0.06615381974440354
KRISHIVAL,SM,0.0645999755859375
HEADSUP,EQ,0.06225674811762507
RICHA,SM,0.061111141936947604
JMCPROJECT,EQ,0.0587768183970818
