SYMBOL,SERIES,GAINS
EXCEL,EQ,344283.0
EXCEL,EQ,172124.40625
EXCEL,EQ,162351.0
VISESHINFO,BE,143450.6609664098
SANWARIA,BZ,114760.33333333333
ANTGRAPHIC,EQ,107587.74839680272
VIKASPROP,BZ,101258.99715973357
GAYAHWS,BE,101258.99715973357
EXCEL,EQ,93084.6015625
EXCEL,EQ,89696.0
EXCEL,EQ,87188.0
EXCEL,EQ,80530.0
BALLARPUR,BZ,78245.36194041942
MERCATOR,BE,78245.36194041942
ORTEL,BZ,74843.34937776378
VIVIDHA,EQ,71724.8304832049
VISESHINFO,BE,71717.91642097964
BKMINDST,BZ,68855.8
VISESHINFO,BE,67645.66397862975
EXCEL,EQ,67396.796875
COMP-RE,BE,66207.46396697352
ROLLT,EQ,66207.46396697352
GTLINFRA,EQ,66207.46396697352
SUPREMEENG,EQ,61478.28676127173
AJRINFRA,EQ,59358.30839277766
